Code,Total,Dem,Rep,Other,Obama,Romney,Dem_share,Rep_share,Winner
OH-16,"207,375","75,199","132,176",0,"169,108","199,650",36.30%,63.70%,R
OK-01,0,0,0,0,"98,321","188,961",0%,100%,R
OK-02,"158,407","38,964","110,925","8,518","81,179","170,983",24.60%,70.00%,R
OK-03,"169,605","36,270","133,335",0,"70,346","199,390",21.40%,78.60%,R
OK-04,"166,268","40,998","117,721","7,549","86,285","176,067",24.70%,70.80%,R
OK-05,"159,133","57,790","95,632","5,711","107,416","155,924",36.30%,60.10%,R
OR-01,"279,253","160,038","96,245","22,970","201,028","140,410",57.30%,34.50%,D
OR-02,"287,425","73,785","202,374","11,266","139,940","196,568",25.70%,70.40%,R
OR-03,"292,757","211,748","57,424","23,585","267,966","91,827",72.30%,19.60%,D
OR-04,"310,179","181,624","116,534","12,021","188,563","163,931",58.60%,37.60%,D
OR-05,"281,088","150,944","110,332","19,812","172,991","161,439",53.70%,39.30%,D
PA-01,"158,441","131,248","27,193",0,"244,605","50,211",82.80%,17.20%,D
PA-02,"206,538","181,141","25,397",0,"338,543","33,525",87.70%,12.30%,D
PA-03,"187,790","73,931","113,859",0,"132,484","171,121",39.40%,60.60%,R
PA-04,"197,340","50,250","147,090",0,"129,239","177,711",25.50%,74.50%,R
PA-05,"180,857","65,839","115,018",0,"119,958","165,210",36.40%,63.60%,R
PA-06,"212,544","92,901","119,643",0,"165,916","174,379",43.70%,56.30%,R
PA-07,"235,125","89,256","145,869",0,"177,252","183,955",38.00%,62.00%,R
PA-08,"222,498","84,767","137,731",0,"177,940","178,195",38.10%,61.90%,R
PA-09,"173,317","63,223","110,094",0,"100,907","176,724",36.50%,63.50%,R
PA-10,"180,322","44,737","112,851","22,734","108,944","170,277",24.80%,62.60%,R
PA-11,"184,692","62,228","122,464",0,"130,502","157,841",33.70%,66.30%,R
PA-12,"215,921","87,928","127,993",0,"141,918","200,396",40.70%,59.30%,R
PA-13,"184,150","123,601","60,549",0,"210,561","104,711",67.10%,32.90%,D
PA-14,"148,351","148,351",0,0,"230,750","103,977",100%,0%,D
PA-15,"128,285",0,"128,285",0,"147,234","156,165",0%,100%,R
PA-16,"176,235","74,513","101,722",0,"135,331","153,189",42.30%,57.70%,R
PA-17,"165,051","93,680","71,371",0,"156,019","121,870",56.80%,43.20%,D
PA-18,"166,076",0,"166,076",0,"142,178","200,985",0%,100.00%,R
RI-01,"146,353","87,060","58,877",416,"141,332","68,685",59.50%,40.20%,D
