GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
420771150,0,SOUTH WHITEHALL TWP DIST 03,Lehigh,3064,2702,91,161,97,1,12,2583,2351,55,104,67,1,5,1548,844,678,781,741
420771160,0,SOUTH WHITEHALL TWP DIST 04,Lehigh,1779,1593,37,102,25,0,22,1454,1332,22,73,19,0,8,1049,540,497,511,526
4207710,0,ALBURTIS Voting District,Lehigh,2361,2127,43,131,30,1,29,1731,1608,26,67,18,1,11,1061,591,449,527,513
4207720,0,ALLENTOWN WD 01,Lehigh,2646,412,379,1759,20,3,73,1738,365,248,1067,18,0,40,697,623,71,564,130
4207730,0,ALLENTOWN WD 02,Lehigh,1853,429,339,990,16,0,79,1297,402,248,604,13,0,30,571,496,72,441,127
4207740,0,ALLENTOWN WD 03,Lehigh,2509,618,441,1348,9,6,87,1752,550,299,847,8,6,42,679,566,108,529,145
4207750,0,ALLENTOWN WD 04,Lehigh,1838,406,295,1068,5,6,58,1266,359,206,670,4,4,23,512,429,70,392,107
420771170,0,SOUTH WHITEHALL TWP DIST 05,Lehigh,2598,2120,60,127,260,2,29,2104,1795,42,73,180,1,13,1521,827,682,755,754
420771190,0,SOUTH WHITEHALL TWP DIST 06,Lehigh,2288,2014,45,89,115,0,25,1832,1644,32,61,82,0,13,1462,821,628,737,712
420771200,0,SOUTH WHITEHALL TWP DIST 07,Lehigh,1353,1223,29,57,25,1,18,1091,1006,17,41,15,1,11,773,440,321,435,326
420771210,0,SOUTH WHITEHALL TWP DIST 08,Lehigh,3641,3036,128,158,266,5,48,2775,2376,85,95,191,4,24,1737,871,852,804,919
420771220,0,UPPER MACUNGIE TWP DIST 01,Lehigh,3364,2751,68,171,318,4,52,2282,1923,47,83,207,4,18,1638,773,850,721,902
420771230,0,UPPER MACUNGIE TWP DIST 02,Lehigh,4008,3431,47,97,382,0,51,2838,2471,39,48,262,0,18,2132,1015,1097,912,1200
4207760,0,ALLENTOWN WD 05,Lehigh,1742,314,227,1129,18,3,51,1203,264,149,748,12,3,27,409,351,56,328,79
4207770,0,ALLENTOWN WD 06 DIST 01,Lehigh,1447,465,102,815,12,1,52,974,391,67,476,8,1,31,358,316,38,291,63
4207780,0,ALLENTOWN WD 06 DIST 02,Lehigh,2101,991,124,873,41,0,72,1494,820,98,503,30,0,43,568,460,104,426,138
4207790,0,ALLENTOWN WD 07,Lehigh,3276,793,471,1903,24,1,84,2215,689,298,1169,13,1,45,840,717,113,644,186
42077110,0,ALLENTOWN WD 08 DIST 01,Lehigh,1234,253,154,785,9,4,29,837,208,92,515,7,1,14,330,282,46,266,62
